DateTime,CheatingType,ImagePath
13/09/2021 00:43:34,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_34-MOBILE_PHONE.jpg
13/09/2021 00:43:45,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_45-MOBILE_PHONE.jpg
13/09/2021 00:43:47,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_47-MOBILE_PHONE.jpg
13/09/2021 00:43:47,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_47-MOBILE_PHONE.jpg
13/09/2021 00:43:48,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_48-MOBILE_PHONE.jpg
13/09/2021 00:43:49,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_49-MOBILE_PHONE.jpg
13/09/2021 00:43:49,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_49-MOBILE_PHONE.jpg
13/09/2021 00:43:50,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_50-MOBILE_PHONE.jpg
13/09/2021 00:43:51,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_51-MOBILE_PHONE.jpg
13/09/2021 00:43:52,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_52-MOBILE_PHONE.jpg
13/09/2021 00:43:52,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_52-MOBILE_PHONE.jpg
13/09/2021 00:43:53,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_53-MOBILE_PHONE.jpg
13/09/2021 00:43:53,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_53-MOBILE_PHONE.jpg
13/09/2021 00:43:53,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_53-MOBILE_PHONE.jpg
13/09/2021 00:43:54,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_54-MOBILE_PHONE.jpg
13/09/2021 00:43:54,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_54-MOBILE_PHONE.jpg
13/09/2021 00:43:54,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_54-MOBILE_PHONE.jpg
13/09/2021 00:43:55,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_55-MOBILE_PHONE.jpg
13/09/2021 00:43:56,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_56-MOBILE_PHONE.jpg
13/09/2021 00:43:56,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_56-MOBILE_PHONE.jpg
13/09/2021 00:43:56,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_56-MOBILE_PHONE.jpg
13/09/2021 00:43:57,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__43_57-MOBILE_PHONE.jpg
13/09/2021 00:43:57,MULTIPLE_FACES,./Cheating_Logs/images/13_09_2021_00__43_57-MULTIPLE_FACES.jpg
13/09/2021 00:43:59,MULTIPLE_FACES,./Cheating_Logs/images/13_09_2021_00__43_59-MULTIPLE_FACES.jpg
13/09/2021 00:43:59,MULTIPLE_FACES,./Cheating_Logs/images/13_09_2021_00__43_59-MULTIPLE_FACES.jpg
13/09/2021 00:44:00,MULTIPLE_FACES,./Cheating_Logs/images/13_09_2021_00__44_00-MULTIPLE_FACES.jpg
13/09/2021 00:44:00,MULTIPLE_FACES,./Cheating_Logs/images/13_09_2021_00__44_00-MULTIPLE_FACES.jpg
13/09/2021 00:44:00,MULTIPLE_FACES,./Cheating_Logs/images/13_09_2021_00__44_00-MULTIPLE_FACES.jpg
13/09/2021 00:44:01,MULTIPLE_FACES,./Cheating_Logs/images/13_09_2021_00__44_01-MULTIPLE_FACES.jpg
13/09/2021 00:50:06,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__50_06-MOBILE_PHONE.jpg
13/09/2021 00:50:06,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__50_06-MOBILE_PHONE.jpg
13/09/2021 00:50:07,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__50_07-MOBILE_PHONE.jpg
13/09/2021 00:50:08,MOBILE_PHONE,./Cheating_Logs/images/13_09_2021_00__50_08-MOBILE_PHONE.jpg
13/09/2021 00:56:25,LOOKING_RIGHT,./Cheating_Logs/images/13_09_2021_00__56_25-LOOKING_RIGHT.jpg
13/09/2021 00:56:42,LOOKING_LEFT,./Cheating_Logs/images/13_09_2021_00__56_42-LOOKING_LEFT.jpg
13/09/2021 00:56:43,LOOKING_RIGHT,./Cheating_Logs/images/13_09_2021_00__56_43-LOOKING_RIGHT.jpg
13/09/2021 00:56:43,LOOKING_RIGHT,./Cheating_Logs/images/13_09_2021_00__56_43-LOOKING_RIGHT.jpg
13/09/2021 00:56:43,LOOKING_RIGHT,./Cheating_Logs/images/13_09_2021_00__56_43-LOOKING_RIGHT.jpg
13/09/2021 00:56:43,LOOKING_RIGHT,./Cheating_Logs/images/13_09_2021_00__56_43-LOOKING_RIGHT.jpg
13/09/2021 00:58:38,LOOKING_RIGHT,./Cheating_Logs/images/13_09_2021_00__58_38-LOOKING_RIGHT.jpg
13/09/2021 00:58:38,LOOKING_RIGHT,./Cheating_Logs/images/13_09_2021_00__58_38-LOOKING_RIGHT.jpg
13/09/2021 00:58:45,LOOKING_RIGHT,./Cheating_Logs/images/13_09_2021_00__58_45-LOOKING_RIGHT.jpg
13/09/2021 00:58:45,LOOKING_RIGHT,./Cheating_Logs/images/13_09_2021_00__58_45-LOOKING_RIGHT.jpg
13/09/2021 00:58:45,LOOKING_LEFT,./Cheating_Logs/images/13_09_2021_00__58_45-LOOKING_LEFT.jpg
13/09/2021 00:58:46,LOOKING_RIGHT,./Cheating_Logs/images/13_09_2021_00__58_46-LOOKING_RIGHT.jpg
13/09/2021 00:59:02,LOOKING_RIGHT,./Cheating_Logs/images/13_09_2021_00__59_02-LOOKING_RIGHT.jpg
13/09/2021 00:59:08,LOOKING_LEFT,./Cheating_Logs/images/13_09_2021_00__59_08-LOOKING_LEFT.jpg
13/09/2021 00:59:18,LOOKING_RIGHT,./Cheating_Logs/images/13_09_2021_00__59_18-LOOKING_RIGHT.jpg
13/09/2021 00:59:45,LOOKING_LEFT,./Cheating_Logs/images/13_09_2021_00__59_45-LOOKING_LEFT.jpg
13/09/2021 00:59:45,LOOKING_LEFT,./Cheating_Logs/images/13_09_2021_00__59_45-LOOKING_LEFT.jpg
13/09/2021 01:00:02,LOOKING_RIGHT,./Cheating_Logs/images/13_09_2021_01__00_02-LOOKING_RIGHT.jpg
13/09/2021 01:00:03,LOOKING_RIGHT,./Cheating_Logs/images/13_09_2021_01__00_03-LOOKING_RIGHT.jpg
13/09/2021 01:00:58,LOOKING_RIGHT,./Cheating_Logs/images/13_09_2021_01__00_58-LOOKING_RIGHT.jpg
13/09/2021 01:02:38,LOOKING_LEFT,./Cheating_Logs/images/13_09_2021_01__02_38-LOOKING_LEFT.jpg
13/09/2021 01:04:05,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_05-MOUTH_OPEN.jpg
13/09/2021 01:04:05,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_05-MOUTH_OPEN.jpg
13/09/2021 01:04:05,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_05-MOUTH_OPEN.jpg
13/09/2021 01:04:05,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_05-MOUTH_OPEN.jpg
13/09/2021 01:04:05,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_05-MOUTH_OPEN.jpg
13/09/2021 01:04:06,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_06-MOUTH_OPEN.jpg
13/09/2021 01:04:06,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_06-MOUTH_OPEN.jpg
13/09/2021 01:04:06,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_06-MOUTH_OPEN.jpg
13/09/2021 01:04:06,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_06-MOUTH_OPEN.jpg
13/09/2021 01:04:06,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_06-MOUTH_OPEN.jpg
13/09/2021 01:04:06,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_06-MOUTH_OPEN.jpg
13/09/2021 01:04:09,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_09-MOUTH_OPEN.jpg
13/09/2021 01:04:09,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_09-MOUTH_OPEN.jpg
13/09/2021 01:04:09,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_09-MOUTH_OPEN.jpg
13/09/2021 01:04:09,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_09-MOUTH_OPEN.jpg
13/09/2021 01:04:09,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_09-MOUTH_OPEN.jpg
13/09/2021 01:04:09,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_09-MOUTH_OPEN.jpg
13/09/2021 01:04:11,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_11-MOUTH_OPEN.jpg
13/09/2021 01:04:11,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_11-MOUTH_OPEN.jpg
13/09/2021 01:04:11,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_11-MOUTH_OPEN.jpg
13/09/2021 01:04:11,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_11-MOUTH_OPEN.jpg
13/09/2021 01:04:11,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_11-MOUTH_OPEN.jpg
13/09/2021 01:04:11,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_11-MOUTH_OPEN.jpg
13/09/2021 01:04:13,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_13-MOUTH_OPEN.jpg
13/09/2021 01:04:14,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_14-MOUTH_OPEN.jpg
13/09/2021 01:04:14,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_14-MOUTH_OPEN.jpg
13/09/2021 01:04:14,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_14-MOUTH_OPEN.jpg
13/09/2021 01:04:14,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_14-MOUTH_OPEN.jpg
13/09/2021 01:04:14,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_14-MOUTH_OPEN.jpg
13/09/2021 01:04:14,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_14-MOUTH_OPEN.jpg
13/09/2021 01:04:14,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_14-MOUTH_OPEN.jpg
13/09/2021 01:04:15,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_15-MOUTH_OPEN.jpg
13/09/2021 01:04:15,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_15-MOUTH_OPEN.jpg
13/09/2021 01:04:15,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_15-MOUTH_OPEN.jpg
13/09/2021 01:04:15,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_15-MOUTH_OPEN.jpg
13/09/2021 01:04:15,MOUTH_OPEN,./Cheating_Logs/images/13_09_2021_01__04_15-MOUTH_OPEN.jpg
